Carat(Weight),Cut(Quality),Color,Clarity,Depth,Table,X(length),Y(width),Z(Depth),Price $
0.75,Ideal,F,SI1,60.8,57,5.87,5.9,3.58,3610
0.28,Very Good,G,VVS2,62.5,53,4.18,4.21,2.62,522
0.77,Good,D,SI2,63.8,58,5.81,5.78,3.7,2665
0.43,Ideal,I,,62.1,57,4.83,4.86,3.01,780
0.34,Very Good,G,VVS1,60.9,57,4.53,4.56,2.76,819
0.95,Very Good,J,VS2,63.5,56,6.24,6.27,3.97,3314
0.55,Very Good,D,SI1,61.2,58,5.24,5.29,3.22,1692
0.75,Very Good,F,VS1,62.3,57,5.83,5.88,3.65,3270
0.36,Ideal,H,IF,62.2,54.1,4.57,4.6,2.86,877
1.39,Ideal,H,VVS2,61.2,54,7.23,7.25,4.43,9298
0.3,Good,D,SI1,63.2,56,4.24,4.27,2.69,552
1.51,Premium,H,SI2,60.4,59,7.3,7.27,,7864
0.3,,G,VS1,62.1,60,4.24,4.3,2.65,605
0.76,Ideal,F,VS2,,55,5.88,5.9,3.63,2725
0.51,Good,D,SI2,63.9,55,5.04,5.1,3.24,1180
0.57,Ideal,G,VS2,61.8,56,5.35,5.3,3.29,1728
1.07,Ideal,G,VVS2,62.4,55.6,6.48,6.55,4.07,8235
1.21,Premium,F,SI2,61.5,57,6.93,,4.25,4740
0.54,Ideal,F,,61.3,57,5.29,,3.23,2333
0.5,Very Good,D,VS2,63.4,57,5.09,5.04,3.21,1758
2.03,,D,SI2,63.1,59,8.12,7.99,5.08,12765
0.3,Good,G,SI1,63.2,55,4.26,4.29,,417
1.55,Premium,I,SI2,58.5,60,7.64,7.58,4.45,7972
2,Very Good,H,SI2,62.6,56,7.98,8.09,5.03,15446
0.3,Premium,D,SI1,62.3,58,4.32,4.28,2.68,709
1.59,Premium,E,VS2,62.3,59,7.43,7.38,4.61,15249
0.51,Ideal,E,VS2,62.4,57,5.13,5.1,3.19,1781
1.55,Ideal,F,SI1,61.9,55,7.47,7.42,4.61,14220
1,Very Good,E,SI1,59.2,59,6.49,6.55,3.86,5718
2.42,Premium,J,SI2,58.5,59,8.85,8.82,5.17,16198
1.32,Ideal,G,VS1,,56,7.05,7,4.4,9979
0.42,Ideal,D,SI1,62.3,57,4.8,4.77,2.98,1040
0.32,Ideal,G,,62.1,53,4.41,4.44,2.75,918
0.7,Very Good,E,VVS2,61.5,58,5.67,5.71,3.5,3429
1.01,Very Good,F,VS2,63.1,56,6.41,6.37,4.03,6267
0.37,Ideal,E,VVS2,62.2,56,4.63,4.6,2.87,1082
1.55,Very Good,G,SI1,59.8,59,7.45,7.47,4.46,9428
1.03,Ideal,H,I1,61.5,57,6.52,6.48,4,3230
1.5,Ideal,F,VS2,60.4,57,7.41,7.43,4.48,14071
0.53,Very Good,D,SI1,63.4,58,5.15,5.11,3.25,1636
0.26,Very Good,D,VS1,63.3,57,4.03,4.06,2.56,420
1,,F,SI2,56.7,60,6.62,,3.74,3858
0.32,Ideal,G,VS1,61.6,55,4.43,,2.74,665
1.04,Ideal,D,SI1,61.9,57,6.51,6.54,4.04,6112
0.3,Premium,D,SI1,62.1,58,4.28,4.25,2.65,709
1.7,Premium,F,SI2,,60,7.64,7.56,4.7,10377
0.93,Premium,G,SI2,60.8,59,6.35,6.28,3.84,3594
2,Premium,I,VS2,62.5,57,8.01,7.92,4.98,17574
0.4,Premium,H,VS1,62.4,60,4.69,4.74,2.94,807
1,Premium,G,VS1,61.9,60,6.39,6.31,3.93,5242
1.25,Premium,I,SI2,60.5,58,7,6.96,4.22,5166
1.53,Fair,I,VS2,57.7,69,7.6,7.51,4.36,8996
0.49,Premium,E,SI2,61.7,57,5.08,5.06,3.13,949
0.9,Ideal,G,SI1,62.4,57,6.15,6.19,3.85,4059
1.22,Ideal,H,,61.8,57,6.83,6.85,4.23,6654
0.43,Premium,F,VVS2,61.6,60,4.82,4.86,2.98,1169
1.52,Ideal,I,IF,62.2,57,7.33,7.27,4.54,10609
1.1,,F,I1,61.3,57,6.68,6.62,4.08,3690
0.75,Premium,I,SI1,62.7,61,5.75,5.71,3.59,2142
0.53,Ideal,F,SI1,61.9,55,5.19,5.21,3.22,1360
0.32,Good,H,SI2,63.1,56,4.34,4.37,2.75,403
1.13,Ideal,H,SI2,60.4,56,6.78,6.7,4.07,3797
0.6,Very Good,G,SI1,61.1,57,5.36,5.47,3.31,1554
0.35,Premium,I,SI1,62.5,58,4.49,4.53,2.82,472
2.08,Premium,H,SI1,62.6,59,8.13,8.1,5.08,17778
1.5,Ideal,I,VVS2,60.8,57,7.38,7.42,4.5,12148
0.5,Good,D,VS2,,56,5.09,5.05,3.23,1758
1.74,Ideal,J,SI1,62.1,54,7.73,7.69,4.79,9208
