Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment, Day 
store 1,5/2/2010,1643690.9,non holiday,42.31,2.572,211.0963582,8.106, Sunday 
store 1,12/2/2010,1641957.44,holiday,38.51,2.548,211.2421698,8.106, Thursday 
store 1,2/19/2010,1611968.17,non holiday,39.93,2.514,211.2891429,8.106, Friday 
store 1,2/26/2010,1409727.59,non holiday,46.63,2.561,211.3196429,8.106, Friday 
store 1,5/3/2010,1554806.68,non holiday,,2.625,211.3501429,8.106, Monday 
store 1,12/3/2010,1439541.59,non holiday,57.79,,211.3806429,8.106, Friday 
store 1,3/19/2010,1472515.79,non holiday,54.58,2.72,211.215635,8.106, Friday 
store 1,3/26/2010,1404429.92,non holiday,51.45,2.732,211.0180424,8.106, Friday 
store 1,2/4/2010,1594968.28,non holiday,62.27,2.719,210.8204499,7.808, Thursday 
store 1,9/4/2010,1545418.53,non holiday,65.86,2.77,210.6228574,7.808, Saturday 
store 1,4/16/2010,1466058.28,non holiday,,2.808,210.4887,7.808, Friday 
store 1,4/23/2010,1391256.12,non holiday,64.84,2.795,210.4391228,7.808, Friday 
store 1,4/30/2010,1425100.71,non holiday,,,210.3895456,7.808, Friday 
store 1,7/5/2010,1603955.12,non holiday,72.55,2.835,210.3399684,7.808, Monday 
store 1,5/14/2010,1494251.5,non holiday,74.78,2.854,210.3374261,7.808, Friday 
store 1,5/21/2010,1399662.07,non holiday,76.44,2.826,210.6170934,7.808, Friday 
store 1,5/28/2010,1432069.95,non holiday,80.44,2.759,210.8967606,7.808, Friday 
store 1,4/6/2010,1615524.71,non holiday,,2.705,211.1764278,7.808, Tuesday 
store 1,11/6/2010,1542561.09,non holiday,80.43,2.668,211.4560951,7.808, Saturday 
store 1,6/18/2010,1503284.06,non holiday,,2.637,211.4537719,7.808, Friday 
store 1,6/25/2010,1422711.6,non holiday,84.34,2.653,211.3386526,7.808, Friday 
store 1,2/7/2010,1492418.14,non holiday,80.91,2.669,211.2235333,7.787, Sunday 
store 1,9/7/2010,1546074.18,non holiday,80.48,2.642,211.108414,7.787, Tuesday 
